Price,Total_Room,Bathroom_Count,Net_M2,Number_of_Floors,Floor,Furnished_Status,Is_New_Building,Is_Occupied,Is_Swap_Available,In_a_Complex,Loan_Eligibility,KonutTipi_Bina,KonutTipi_Daire,KonutTipi_Kooperatif,KonutTipi_Mustakil,KonutTipi_Yali,Age_0,Age_1-5,Age_6-10,Age_11-20,Age_21-30,Age_31-40,Age_41-50,Age_51-70,Heating_Diger-Belirsiz,Heating_Kombi-Bireysel Doğalgaz,Heating_Merkezi Sistem,Heating_Soba-Geleneksel,Heating_Yerden Isıtma-Modern,Tapu_Diger/Riskli,Tapu_Hisseli Mülkiyet,Tapu_Kat İrtifakı,Tapu_Tam Mülkiyet,Building_Type_Encoded,Ground_Risk,District,Neighborhood,District_Encoded,Neighborhood_Encoded,Price_Per_Sqrft
3300000,3,1.0,75,8,2.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.33684210526315794,Kartal,Kartal_Esentepe Mah.,8650861.445783133,8542857.142857144,44000.0
7500000,3,1.0,65,6,4.0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.42105263157894735,Pendik,Pendik_Yenişehir Mah.,7962272.151898734,9711705.88235294,115384.61538461539
13000000,3,1.0,74,6,1.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.42105263157894735,Kadıköy,Kadıköy_Suadiye Mah.,21104968.11904762,24034700.0,175675.67567567568
4288000,3,1.0,80,3,1.0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.8421052631578947,Sultanbeyli,Sultanbeyli_Mimar Sinan Mah.,5423944.444444444,5124894.736842105,53600.0
12750000,4,1.0,100,7,1.0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.35789473684210527,Beyoğlu,Beyoğlu_Sütlüce Mah.,10649938.461538462,4475000.0,127500.0
4100000,4,2.0,120,5,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.9473684210526316,Bahçelievler,Bahçelievler_Siyavuşpaşa Mah.,7728063.429104477,5618532.258064516,34166.666666666664
4250000,2,1.0,50,4,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.42105263157894735,Kadıköy,Kadıköy_Osmanağa Mah.,21037016.950693373,8666666.666666666,85000.0
7750000,3,1.0,78,8,3.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.42105263157894735,Pendik,Pendik_Kurtköy Mah.,7962272.151898734,7655000.0,99358.97435897436
6950000,6,3.0,160,4,4.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.5263157894736843,Sancaktepe,Sancaktepe_Abdurrahmangazi Mah.,6100259.2370370375,9299916.666666666,43437.5
65000000,6,3.0,160,5,1.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.368421052631579,Kadıköy,Kadıköy_Caddebostan Mah.,20764465.8126935,28928384.615384616,406250.0
8000000,3,1.0,64,8,4.0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.42105263157894735,Pendik,Pendik_Kaynarca Mah.,7396266.272189349,5890000.0,125000.0
6900000,4,1.0,134,5,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.26315789473684215,Beyoğlu,Beyoğlu_Yenişehir Mah.,10649938.461538462,3855000.0,51492.53731343283
32950000,5,3.0,180,7,6.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.3157894736842105,Kadıköy,Kadıköy_Göztepe Mah.,21169859.46177847,21775705.128205128,183055.55555555556
14750000,3,1.0,75,10,6.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.3157894736842105,Kadıköy,Kadıköy_Göztepe Mah.,21134154.906976745,21465000.0,196666.66666666666
6750000,4,1.0,100,5,3.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9473684210526316,Küçükçekmece,Küçükçekmece_Cennet Mah.,5627253.918495297,7344000.0,67500.0
4350000,4,1.0,117,4,1.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.368421052631579,Çekmeköy,Çekmeköy_Ekşioğlu Mah.,10161023.992,5187899.9,37179.48717948718
2100000,3,1.0,95,18,3.0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.9263157894736842,Beylikdüzü,Beylikdüzü_Cumhuriyet Mah.,6568494.619217082,4992842.052631579,22105.263157894737
11950000,4,2.0,105,4,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.42105263157894735,Maltepe,Maltepe_İdealtepe Mah.,9080830.642473118,9912142.857142856,113809.52380952382
3150000,4,1.0,100,5,3.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9473684210526316,Esenyurt,Esenyurt_Hürriyet Mah.,3291844.4296296295,2465000.0,31500.0
8200000,6,1.0,160,5,5.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9473684210526316,Küçükçekmece,Küçükçekmece_Cennet Mah.,5677551.948051948,7238823.529411765,51250.0
6750000,6,2.0,220,3,3.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9473684210526316,Bahçelievler,Bahçelievler_Kocasinan Merkez Mah.,7835307.139285714,7134086.956521739,30681.81818181818
8100000,4,2.0,100,3,3.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.42105263157894735,Ataşehir,Ataşehir_Örnek Mah.,9629609.523809524,6858235.294117647,81000.0
8500000,4,2.0,160,9,6.0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9263157894736842,Beylikdüzü,Beylikdüzü_Adnan Kahveci Mah.,6609797.8226950355,6675032.737704918,53125.0
3000000,3,1.0,95,5,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.8947368421052632,Büyükçekmece,Büyükçekmece_Dizdariye Mah.,8356854.01459854,4600000.0,31578.947368421053
6350000,3,2.0,85,5,2.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9473684210526316,Küçükçekmece,Küçükçekmece_Cennet Mah.,5731834.920634921,7440294.117647059,74705.88235294117
3950000,3,1.0,70,6,5.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.368421052631579,Kağıthane,Kağıthane_Harmantepe Mah.,6634906.7164179105,4198000.0,56428.57142857143
6400000,4,2.0,85,5,1.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.42105263157894735,Pendik,Pendik_Kaynarca Mah.,7239353.658536585,6210000.0,75294.11764705883
3110000,3,1.0,80,5,2.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7894736842105263,Eyüpsultan,Eyüpsultan_Rami Cuma Mah.,11640322.423312884,6924000.0,38875.0
6950000,3,1.0,100,5,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.3157894736842105,Şişli,Şişli_Fulya Mah.,11474868.794326242,8498437.5,69500.0
17500000,4,2.0,150,10,10.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.368421052631579,Kadıköy,Kadıköy_19 Mayıs Mah.,21104968.11904762,14696764.705882354,116666.66666666667
20000000,6,3.0,175,3,4.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9473684210526316,Bahçelievler,Bahçelievler_Bahçelievler Mah.,7728063.429104477,14315446.42857143,114285.71428571429
12000000,4,2.0,145,10,2.0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.9368421052631579,Beylikdüzü,Beylikdüzü_Marmara Mah.,6409691.405204461,7858894.578947368,82758.62068965517
1495000,2,1.0,60,24,21.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.9473684210526316,Esenyurt,Esenyurt_Yeşilkent Mah.,3212752.6738351253,3686600.0,24916.666666666668
9000000,3,2.0,98,5,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.9473684210526316,Zeytinburnu,Zeytinburnu_Çırpıcı Mah.,8287030.303030303,6550000.0,91836.73469387754
