Fiyat,Lokasyon,Link,İlan no,Son Güncelleme,İlan Durumu,Konut Tipi,Konut Şekli,Oda Sayısı,Banyo Sayısı,Brüt / Net M2,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Yakıt Tipi,Krediye Uygunlu...,Tapu Durumu,Eşya Durumu,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Cephe,Takas,Kira Getirisi,Aidat,Yetkili Ofis,Site İçerisinde,Krediye Uygunluk,Depozito,Vs30
2.500.000 TL,İstanbul - Silivri - Selimpaşa Mah.,https://www.hepsiemlak.com/istanbul-silivri-selimpasa-satilik/daire/89677-1144,89677-1144,13-10-2025,Satılık,Daire,,3 + 1,4.0,125 m2  / 120 m2,4 Katlı,2. Kat,20 Yaşında,Kombi,,,Kat Mülkiyeti,,,,,,,,,,,Uygun,,250
3.300.000 TL,İstanbul - Kartal - Esentepe Mah.,https://www.hepsiemlak.com/istanbul-kartal-esentepe-satilik/daire/92034-307,92034-307,22-10-2025,Satılık,Daire,Daire,2 + 1,1.0,85 m2  / 75 m2,8 Katlı,2. Kat,30 Yaşında,Kombi,Doğalgaz,,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Mülk Sahibi,Güney,Hayır,,50 TL,Evet,,Uygun,,780
2.750.000 TL,İstanbul - Kartal - Yakacık Çarşı Mah.,https://www.hepsiemlak.com/istanbul-kartal-yakacik-carsi-satilik/daire/33531-1359,33531-1359,23-10-2025,Satılık,Daire,Daire,2 + 1,1.0,84 m2  / 73 m2,4 Katlı,4. Kat,30 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,,,,,,,Uygun,,450
1.300.000 TL,İstanbul - Beylikdüzü - Yakuplu Mah.,https://www.hepsiemlak.com/istanbul-beylikduzu-yakuplu-satilik/daire/104770-6829,104770-6829,23-10-2025,Satılık,Daire,Daire,2 + 1,1.0,100 m2  / 95 m2,6 Katlı,2. Kat,5 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Güney, Doğu",Evet,,,Evet,,Uygun,,210
2.845.000 TL,İstanbul - Sultanbeyli - Mimar Sinan Mah.,https://www.hepsiemlak.com/istanbul-sultanbeyli-mimar-sinan-satilik/daire/155700-488,155700-488,20-10-2025,Satılık,Daire,,2 + 1,1.0,100 m2  / 80 m2,4 Katlı,Yüksek Giriş,1 Yaşında,Kombi,,,Kat Mülkiyeti,Eşyalı Değil,,,Boş,"Kuzey, Güney, Doğu, Batı",Evet,,250 TL,,,Uygun,,300
11.950.000 TL,İstanbul - Bahçelievler - Bahçelievler Mah.,https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-satilik/daire/19777-1809,19777-1809,09-10-2025,Satılık,Daire,,2 + 1,2.0,105 m2  / 100 m2,4 Katlı,2. Kat,Sıfır Bina,Kombi,,,Kat Mülkiyeti,Eşyalı Değil,,,Boş,"Güney, Doğu",Hayır,,250 TL,,,Uygun,,200
8.500.000 TL,İstanbul - Tuzla - Yayla Mah.,https://www.hepsiemlak.com/istanbul-tuzla-yayla-satilik/daire/77474-2637,77474-2637,19-10-2025,Satılık,Daire,Çatı Dubleksi,5 + 1,2.0,240 m2  / 200 m2,5 Katlı,En Üst Kat,10 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Güney, Doğu",Hayır,50.000 TL,600 TL,Evet,,Uygun,,650
1.600.000 TL,İstanbul - Esenyurt - Gökevler Mah.,https://www.hepsiemlak.com/istanbul-esenyurt-gokevler-satilik/daire/156131-15,156131-15,17-10-2025,Satılık,Daire,Daire,1 + 1,,90 m2  / 80 m2,13 Katlı,7. Kat,8 Yaşında,Merkezi (Pay Ölçer),Doğalgaz,,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,"Güney, Doğu",Hayır,18.000 TL,2.500 TL,,Özyurtlar Residence,Uygun,,200
3.750.000 TL,İstanbul - Ümraniye - Çamlık Mah.,https://www.hepsiemlak.com/istanbul-umraniye-camlik-satilik/daire/2783-2364,2783-2364,10-10-2025,Satılık,Daire,Daire,2 + 1,,100 m2  / 80 m2,4 Katlı,3. Kat,35 Yaşında,Kombi,Doğalgaz,,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Mülk Sahibi,Güney,Hayır,,,Evet,,Uygun,,750
6.250.000 TL,İstanbul - Küçükçekmece - Cumhuriyet Mah.,https://www.hepsiemlak.com/istanbul-kucukcekmece-cumhuriyet-satilik/daire/7182-5093,7182-5093,09-10-2025,Satılık,Daire,Daire,2 + 1,2.0,100 m2  / 84 m2,14 Katlı,9. Kat,2 Yaşında,Kombi,Doğalgaz,,Kat İrtifakı,Eşyalı Değil,Betonarme,Sıfır,Boş,Güney,Hayır,35.000 TL,,Evet,,Uygun,,250
