Fiyat,Lokasyon,Link,İlan no,Son Güncelleme,İlan Durumu,Konut Tipi,Konut Şekli,Oda Sayısı,Banyo Sayısı,Brüt / Net M2,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Yakıt Tipi,Krediye Uygunlu...,Tapu Durumu,Eşya Durumu,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Cephe,Takas,Kira Getirisi,Aidat,Yetkili Ofis,Site İçerisinde,Krediye Uygunluk,Depozito,Vs30
7.700.000 TL,İstanbul - Maltepe - Çınar Mah.,https://www.hepsiemlak.com/istanbul-maltepe-cinar-satilik/daire/76795-1577,76795-1577,21-10-2025,Satılık,Daire,Daire,2 + 1,1.0,80 m2  / 70 m2,4 Katlı,1. Kat,1 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Kuzey, Güney, Doğu, Batı",Hayır,,,,,Uygun,,600
6.000.000 TL,İstanbul - Küçükçekmece - Yeşilova Mah.,https://www.hepsiemlak.com/istanbul-kucukcekmece-yesilova-satilik/daire/152630-67,152630-67,21-10-2025,Satılık,Daire,Daire,2 + 1,1.0,90 m2  / 80 m2,3 Katlı,2. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Güney, Doğu",Hayır,35.000 TL,300 TL,Evet,,Uygun,,300
18.950.000 TL,İstanbul - Kadıköy - Suadiye Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/145390-726,145390-726,21-10-2025,Satılık,Daire,Daire,3 + 1,2.0,125 m2  / 95 m2,10 Katlı,3. Kat,Sıfır Bina,Yerden Isıtma,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Kuzey, Güney, Doğu, Batı",Hayır,,,Evet,,Uygun,,700
14.000.000 TL,İstanbul - Kadıköy - Fenerbahçe Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-fenerbahce-satilik/daire/2137-28172,2137-28172,20-10-2025,Satılık,Daire,,3 + 1,1.0,140 m2  / 110 m2,10 Katlı,1. Kat,25 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,"Kuzey, Güney, Doğu, Batı",Hayır,,2.500 TL,Evet,,Uygun,,750
3.780.000 TL,İstanbul - Fatih - Molla Gürani Mah.,https://www.hepsiemlak.com/istanbul-fatih-molla-gurani-satilik/daire/136375-913,136375-913,21-10-2025,Satılık,Daire,,2 + 1,1.0,75 m2  / 70 m2,4 Katlı,Yüksek Giriş,31 Yaşında,Kombi,,Uygun,Yabancıdan,Eşyalı Değil,,,Boş,Güney,Hayır,,200 TL,,,Uygun,,250
9.850.000 TL,İstanbul - Maltepe - Altıntepe Mah.,https://www.hepsiemlak.com/istanbul-maltepe-altintepe-satilik/daire/10432-2530,10432-2530,21-10-2025,Satılık,Daire,,3 + 1,1.0,130 m2  / 120 m2,4 Katlı,2. Kat,26 Yaşında,Kombi,,Uygun,Kat İrtifakı,Eşyalı Değil,,,Boş,"Güney, Doğu, Batı",Hayır,,,,,Uygun,,700
6.250.000 TL,İstanbul - Sultanbeyli - Ahmet Yesevi Mah.,https://www.hepsiemlak.com/istanbul-sultanbeyli-ahmet-yesevi-satilik/daire/155700-559,155700-559,21-10-2025,Satılık,Daire,,4 + 1,2.0,150 m2  / 135 m2,4 Katlı,3. Kat,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,"Kuzey, Güney, Doğu, Batı",Evet,,200 TL,,,Uygun,,400
13.500.000 TL,İstanbul - Tuzla - Cami Mah.,https://www.hepsiemlak.com/istanbul-tuzla-cami-satilik/daire/159184-43,159184-43,21-10-2025,Satılık,Daire,,3 + 2,3.0,142 m2  / 122 m2,8 Katlı,8. Kat,1 Yaşında,Yerden Isıtma,,Uygun değil,Kat İrtifakı,Eşyalı Değil,,,Boş,"Güney, Doğu",Evet,,,,Evet,Uygun değil,,650
5.500.000 TL,İstanbul - Pendik - Kurtköy Mah.,https://www.hepsiemlak.com/istanbul-pendik-kurtkoy-satilik/daire/163388-2,163388-2,21-10-2025,Satılık,Daire,,2 + 1,1.0,85 m2  / 73 m2,7 Katlı,6. Kat,5 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,Güney,Hayır,,,,,Uygun,,700
5.750.000 TL,İstanbul - Üsküdar - Cumhuriyet Mah.,https://www.hepsiemlak.com/istanbul-uskudar-cumhuriyet-satilik/daire/93181-5936,93181-5936,21-10-2025,Satılık,Daire,Bahçe Katı,2 + 1,1.0,90 m2  / 65 m2,4 Katlı,Bahçe Katı,1 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Kuzey, Güney",Evet,35.000 TL,,Evet,,Uygun,,750
3.750.000 TL,İstanbul - Beyoğlu - Yenişehir Mah.,https://www.hepsiemlak.com/istanbul-beyoglu-yenisehir-satilik/bina/139911-384,139911-384,21-10-2025,Satılık,Bina,Müstakil Ev,2 + 1,1.0,110 m2  / 100 m2,3 Katlı,,29 Yaşında,Kombi,Doğalgaz,Uygun,Müstakil Tapulu,Eşyalı Değil,Kagir,İkinci El,Boş,,Hayır,40.000 TL,,Evet,,Uygun,,850
20.950.000 TL,İstanbul - Kadıköy - Suadiye Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/119859-377,119859-377,20-10-2025,Satılık,Daire,,3 + 1,2.0,140 m2  / 100 m2,11 Katlı,10. Kat,Sıfır Bina,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,Güney,Hayır,,,,,Uygun,,700
17.000.000 TL,İstanbul - Şişli - Merkez Mah.,https://www.hepsiemlak.com/istanbul-sisli-merkez-satilik/daire/0-45459842,0-45459842,21-10-2025,Satılık,Daire,Daire,3 + 1,2.0,215 m2  / 170 m2,5 Katlı,Ara Kat,31 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Doğu, Batı",,,,,,Uygun,,800
7.100.000 TL,İstanbul - Gaziosmanpaşa - Karadeniz Mah.,https://www.hepsiemlak.com/istanbul-gaziosmanpasa-karadeniz-satilik/daire/141190-166,141190-166,20-10-2025,Satılık,Daire,,1 + 1,1.0,92 m2  / 62 m2,24 Katlı,21 ve üzeri,Sıfır Bina,Merkezi (Pay Öl...,,Uygun,Kat Mülkiyeti,Eşyalı,,,Kiracılı,"Kuzey, Güney, Doğu, Batı",Hayır,,,,Via Port Venezia Konutları,Uygun,,700
17.500.000 TL,İstanbul - Üsküdar - Ünalan Mah.,https://www.hepsiemlak.com/istanbul-uskudar-unalan-satilik/daire/7350-10457,7350-10457,21-10-2025,Satılık,Daire,,3 + 1,2.0,160 m2  / 120 m2,14 Katlı,8. Kat,Sıfır Bina,Merkezi (Pay Öl...,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Kiracılı,"Güney, Batı",Hayır,,,,New City 2,Uygun,,750
9.290.000 TL,İstanbul - Maltepe - Altıntepe Mah.,https://www.hepsiemlak.com/istanbul-maltepe-altintepe-satilik/daire/6060-43732,6060-43732,21-10-2025,Satılık,Daire,Dubleks,2 + 1,1.0,90 m2  / 75 m2,4 Katlı,4. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,Güney,Hayır,,1.000 TL,,,Uygun,,700
6.250.000 TL,İstanbul - Kağıthane - Çağlayan Mah.,https://www.hepsiemlak.com/istanbul-kagithane-caglayan-satilik/residence/24435-4092,24435-4092,21-10-2025,Satılık,Residence,,2 + 1,2.0,90 m2  / 70 m2,13 Katlı,Yüksek Giriş,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı,,,Boş,,Hayır,,,,Belle Vue Residence,Uygun,,700
6.150.000 TL,İstanbul - Maltepe - İdealtepe Mah.,https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-satilik/daire/84612-471,84612-471,21-10-2025,Satılık,Daire,,1 + 1,1.0,75 m2  / 70 m2,4 Katlı,Bahçe Katı,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,,Hayır,,,,,Uygun,,700
26.000.000 TL,İstanbul - Bakırköy - Şenlikköy Mah.,https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-satilik/daire/4753-17589,4753-17589,21-10-2025,Satılık,Daire,Daire,4 + 1,1.0,280 m2  / 240 m2,3 Katlı,Ara Kat,26 Yaşında,Kombi,Doğalgaz,Uygun değil,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Mülk Sahibi,"Kuzey, Doğu, Batı",Hayır,,,Evet,,Uygun değil,,250
6.250.000 TL,İstanbul - Kağıthane - Çağlayan Mah.,https://www.hepsiemlak.com/istanbul-kagithane-caglayan-satilik/residence/24435-4092,24435-4092,21-10-2025,Satılık,Residence,,2 + 1,2.0,90 m2  / 70 m2,13 Katlı,Yüksek Giriş,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı,,,Boş,,Hayır,,,,Belle Vue Residence,Uygun,,700
6.150.000 TL,İstanbul - Maltepe - İdealtepe Mah.,https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-satilik/daire/84612-471,84612-471,21-10-2025,Satılık,Daire,,1 + 1,1.0,75 m2  / 70 m2,4 Katlı,Bahçe Katı,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,,Hayır,,,,,Uygun,,700
10.250.000 TL,İstanbul - Avcılar - Mustafa Kemal Paşa Mah.,https://www.hepsiemlak.com/istanbul-avcilar-mustafa-kemal-pasa-satilik/daire/71777-1637,71777-1637,21-10-2025,Satılık,Daire,Dubleks,4 + 2,,200 m2  / 179 m2,4 Katlı,3. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Güney, Doğu",Hayır,,,Evet,,Uygun,,200
3.250.000 TL,İstanbul - Ümraniye - Elmalıkent Mah.,https://www.hepsiemlak.com/istanbul-umraniye-elmalikent-satilik/daire/133691-78,133691-78,21-10-2025,Satılık,Daire,,3 + 1,1.0,165 m2  / 140 m2,10 Katlı,1. Kat,21 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Kiracılı,"Kuzey, Güney, Doğu, Batı",Evet,,400 TL,,,Uygun,,800
15.000.000 TL,İstanbul - Beşiktaş - Yıldız Mah.,https://www.hepsiemlak.com/istanbul-besiktas-yildiz-satilik/daire/148919-808,148919-808,21-10-2025,Satılık,Daire,Daire,2 + 1,1.0,75 m2  / 55 m2,4 Katlı,1. Kat,Sıfır Bina,Merkezi (Pay Öl...,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Kuzey, Güney, Doğu",Evet,65.000 TL,,Evet,,Uygun,,860
21.650.000 TL,İstanbul - Kadıköy - 19 Mayıs Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-19-mayis-satilik/daire/150945-193,150945-193,21-10-2025,Satılık,Daire,,3 + 1,2.0,140 m2  / 106 m2,11 Katlı,6. Kat,1 Yaşında,Merkezi (Pay Öl...,,Uygun değil,Kat Mülkiyeti,Eşyalı Değil,,,Boş,"Kuzey, Güney, Doğu",Hayır,,,,,Uygun değil,,750
5.699.000 TL,İstanbul - Arnavutköy - Bolluca Mah.,https://www.hepsiemlak.com/istanbul-arnavutkoy-bolluca-satilik/daire/158311-73,158311-73,21-10-2025,Satılık,Daire,,2 + 1,2.0,100 m2  / 95 m2,5 Katlı,2. Kat,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,Doğu,Evet,,,,,Uygun,,200
6.100.000 TL,İstanbul - Gaziosmanpaşa - Karayolları Mah.,https://www.hepsiemlak.com/istanbul-gaziosmanpasa-karayollari-satilik/daire/131567-704,131567-704,21-10-2025,Satılık,Daire,,2 + 1,1.0,95 m2  / 85 m2,9 Katlı,1. Kat,Sıfır Bina,Merkezi (Pay Öl...,,Uygun,Kat İrtifakı,Eşyalı Değil,,,Boş,"Güney, Batı",Hayır,,,,Evet,Uygun,,700
2.450.000 TL,İstanbul - Esenyurt - Koza Mah.,https://www.hepsiemlak.com/istanbul-esenyurt-koza-satilik/daire/129636-970,129636-970,20-10-2025,Satılık,Daire,,1 + 1,1.0,86 m2  / 70 m2,22 Katlı,1. Kat,3 Yaşında,Merkezi (Pay Öl...,,Uygun değil,Kat İrtifakı,Eşyalı,,,Kiracılı,"Güney, Doğu",Evet,,,,Yalçıntepe Residence,Uygun değil,,200
8.950.000 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mah.,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/152846-53,152846-53,21-10-2025,Satılık,Daire,Çatı Dubleksi,6 + 1,2.0,320 m2  / 265 m2,10 Katlı,9. Kat,12 Yaşında,Kombi,Doğalgaz,Uygun,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Boş,"Güney, Doğu",Hayır,60.000 TL,2.500 TL,Evet,Evet,Uygun,,220
8.150.000 TL,İstanbul - Güngören - Tozkoparan Mah.,https://www.hepsiemlak.com/istanbul-gungoren-tozkoparan-satilik/daire/159000-28,159000-28,20-10-2025,Satılık,Daire,,2 + 1,1.0,94 m2  / 80 m2,8 Katlı,1. Kat,1 Yaşında,Merkezi (Pay Öl...,,Uygun,Tapu Yok,Eşyalı Değil,,,Boş,Güney,Hayır,,2.700 TL,,Yeni Tozkoparan Konutları,Uygun,,200
3.650.000 TL,İstanbul - Fatih - Silivrikapı Mah.,https://www.hepsiemlak.com/istanbul-fatih-silivrikapi-satilik/daire/128930-783,128930-783,21-10-2025,Satılık,Daire,Daire,2 + 1,1.0,80 m2  / 75 m2,4 Katlı,2. Kat,38 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Güney, Doğu",Hayır,25.000 TL,200 TL,Evet,,Uygun,,350
28.750.000 TL,İstanbul - Kadıköy - Caddebostan Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-satilik/daire/5702-12097,5702-12097,20-10-2025,Satılık,Daire,Daire,3 + 1,2.0,140 m2  / 116 m2,6 Katlı,1. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Mülk Sahibi,"Güney, Doğu, Batı",Hayır,,,Evet,,Uygun,,750
2.200.000 TL,İstanbul - Esenyurt - Mehterçeşme Mah.,https://www.hepsiemlak.com/istanbul-esenyurt-mehtercesme-satilik/daire/142265-356,142265-356,21-10-2025,Satılık,Daire,Daire,2 + 1,,120 m2  / 100 m2,4 Katlı,Bahçe Katı,4 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,Güney,Evet,,,,,Uygun,,200
3.950.000 TL,İstanbul - Şişli - Kuştepe Mah.,https://www.hepsiemlak.com/istanbul-sisli-kustepe-satilik/daire/95585-4108,95585-4108,20-10-2025,Satılık,Daire,Daire,3 + 1,1.0,85 m2  / 80 m2,6 Katlı,1. Kat,9 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Kiracılı,"Doğu, Batı",Evet,37.000 TL,,Evet,,Uygun,,800
8.100.000 TL,İstanbul - Esenler - Menderes Mah.,https://www.hepsiemlak.com/istanbul-esenler-menderes-satilik/daire/145446-723,145446-723,21-10-2025,Satılık,Daire,Daire,2 + 1,1.0,98 m2  / 74 m2,15 Katlı,13. Kat,3 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Kuzey, Güney, Doğu, Batı",Hayır,40.000 TL,,Evet,Dörtyaka Sitesi,Uygun,,200
4.800.000 TL,İstanbul - Maltepe - Küçükyalı Mah.,https://www.hepsiemlak.com/istanbul-maltepe-kucukyali-satilik/daire/136367-536,136367-536,20-10-2025,Satılık,Daire,Daire,2 + 1,1.0,90 m2  / 80 m2,4 Katlı,Yüksek Giriş,26 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,"Kuzey, Güney, Doğu, Batı",Hayır,35.000 TL,400 TL,,,Uygun,,750
3.449.000 TL,İstanbul - Esenyurt - Turgut Özal Mah.,https://www.hepsiemlak.com/istanbul-esenyurt-turgut-ozal-satilik/daire/134074-267,134074-267,21-10-2025,Satılık,Daire,Daire,3 + 1,1.0,140 m2  / 125 m2,6 Katlı,Yüksek Giriş,10 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,Güney,Evet,25.000 TL,250 TL,Evet,,Uygun,,200
3.975.000 TL,İstanbul - Esenyurt - Güzelyurt Mah.,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/130012-512,130012-512,20-10-2025,Satılık,Daire,Daire,3 + 1,1.0,130 m2  / 120 m2,4 Katlı,2. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Güney, Doğu",Evet,25.000 TL,100 TL,Evet,,Uygun,,200
3.449.000 TL,İstanbul - Esenyurt - Turgut Özal Mah.,https://www.hepsiemlak.com/istanbul-esenyurt-turgut-ozal-satilik/daire/134074-267,134074-267,21-10-2025,Satılık,Daire,Daire,3 + 1,1.0,140 m2  / 125 m2,6 Katlı,Yüksek Giriş,10 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,Güney,Evet,25.000 TL,250 TL,Evet,,Uygun,,200
3.975.000 TL,İstanbul - Esenyurt - Güzelyurt Mah.,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/130012-512,130012-512,20-10-2025,Satılık,Daire,Daire,3 + 1,1.0,130 m2  / 120 m2,4 Katlı,2. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Güney, Doğu",Evet,25.000 TL,100 TL,Evet,,Uygun,,200
8.500.000 TL,İstanbul - Ümraniye - İnkılap Mah.,https://www.hepsiemlak.com/istanbul-umraniye-inkilap-satilik/daire/58568-7794,58568-7794,20-10-2025,Satılık,Daire,Daire,3 + 1,2.0,110 m2  / 90 m2,8 Katlı,2. Kat,11 Yaşında,Kombi,Doğalgaz,Uygun,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,,Hayır,,500 TL,Evet,,Uygun,,700
3.250.000 TL,İstanbul - Esenyurt - Akevler Mah.,https://www.hepsiemlak.com/istanbul-esenyurt-akevler-satilik/daire/16200-2911,16200-2911,19-10-2025,Satılık,Daire,,2 + 1,1.0,110 m2  / 100 m2,30 Katlı,17. Kat,11 Yaşında,Merkezi (Pay Öl...,,Uygun,Kat İrtifakı,Eşyalı Değil,,,Boş,Batı,Hayır,,4.2 TL,,Evet,Uygun,,210
1.359.999 TL,İstanbul - Beylikdüzü - Cumhuriyet Mah.,https://www.hepsiemlak.com/istanbul-beylikduzu-cumhuriyet-satilik/daire/162071-21,162071-21,21-10-2025,Satılık,Daire,Daire,1 + 1,1.0,95 m2  / 75 m2,13 Katlı,Ara Kat,10 Yaşında,Merkezi (Pay Öl...,Doğalgaz,Uygun,Kat Mülkiyeti,,Betonarme,İkinci El,Boş,Güney,Evet,,,Evet,,Uygun,,220
3.950.000 TL,İstanbul - Ümraniye - Parseller Mah.,https://www.hepsiemlak.com/istanbul-umraniye-parseller-satilik/daire/158303-141,158303-141,21-10-2025,Satılık,Daire,Ters Dubleks,2 + 1,2.0,85 m2  / 70 m2,4 Katlı,Yüksek Giriş,6 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Mülk Sahibi,"Güney, Doğu, Batı",Hayır,,210 TL,,,Uygun,,800
8.600.000 TL,İstanbul - Üsküdar - Mimar Sinan Mah.,https://www.hepsiemlak.com/istanbul-uskudar-mimar-sinan-satilik/daire/159353-112,159353-112,21-10-2025,Satılık,Daire,Daire,2 + 1,1.0,80 m2  / 70 m2,5 Katlı,4. Kat,3 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Mülk Sahibi,"Güney, Doğu",Hayır,,,Evet,,Uygun,,450
3.490.000 TL,İstanbul - Avcılar - Cihangir Mah.,https://www.hepsiemlak.com/istanbul-avcilar-cihangir-satilik/daire/109428-115,109428-115,21-10-2025,Satılık,Daire,,2 + 1,1.0,85 m2  / 80 m2,4 Katlı,2. Kat,11 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Boş,"Güney, Batı",Hayır,,100 TL,,,Uygun,,200
3.340.000 TL,İstanbul - Avcılar - Cihangir Mah.,https://www.hepsiemlak.com/istanbul-avcilar-cihangir-satilik/daire/19884-145,19884-145,21-10-2025,Satılık,Daire,Daire,2 + 1,1.0,90 m2  / 84 m2,3 Katlı,Giriş Katı,7 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Mülk Sahibi,Güney,Hayır,25.000 TL,140 TL,Evet,,Uygun,,200
8.275.000 TL,İstanbul - Maltepe - Aydınevler Mah.,https://www.hepsiemlak.com/istanbul-maltepe-aydinevler-satilik/daire/139587-832,139587-832,21-10-2025,Satılık,Daire,Daire,3 + 1,1.0,125 m2  / 105 m2,4 Katlı,2. Kat,15 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,Güney,Hayır,35.000 TL,,Evet,,Uygun,,600
12.600.000 TL,İstanbul - Beyoğlu - Firuzağa Mah.,https://www.hepsiemlak.com/istanbul-beyoglu-firuzaga-satilik/daire/104642-2823,104642-2823,21-10-2025,Satılık,Daire,Daire,1 + 0,1.0,80 m2  / 75 m2,5 Katlı,5. Kat,65 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Yığma,İkinci El,Boş,Güney,Hayır,,,Evet,,Uygun,,700
9.290.000 TL,İstanbul - Maltepe - Altıntepe Mah.,https://www.hepsiemlak.com/istanbul-maltepe-altintepe-satilik/daire/39972-7543,39972-7543,21-10-2025,Satılık,Daire,Daire,2 + 1,2.0,120 m2  / 110 m2,4 Katlı,4. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,"Güney, Doğu, Batı",Hayır,,,Evet,,Uygun,,700
7.500.000 TL,İstanbul - Ataşehir - Esatpaşa Mah.,https://www.hepsiemlak.com/istanbul-atasehir-esatpasa-satilik/daire/72542-3970,72542-3970,21-10-2025,Satılık,Daire,Çatı Dubleksi,3 + 2,2.0,165 m2  / 148 m2,3 Katlı,2. Kat,15 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Güney, Doğu",Evet,60.000 TL,150 TL,Evet,,Uygun,,880
3.550.000 TL,İstanbul - Çekmeköy - Alemdağ Mah.,https://www.hepsiemlak.com/istanbul-cekmekoy-alemdag-satilik/daire/161076-22,161076-22,21-10-2025,Satılık,Daire,Daire,1 + 1,1.0,65 m2  / 55 m2,5 Katlı,Ara Kat,4 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Güney, Doğu, Batı",Hayır,25.000 TL,200 TL,Evet,,Uygun,,760
19.950.000 TL,İstanbul - Kadıköy - Göztepe Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/31770-39035,31770-39035,21-10-2025,Satılık,Daire,Daire,3 + 1,2.0,120 m2  / 93 m2,12 Katlı,5. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat İrtifakı,,,Sıfır,Boş,,Hayır,,,,,Uygun,,800
5.600.000 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mah.,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/135400-224,135400-224,20-10-2025,Satılık,Daire,,3 + 1,1.0,132 m2  / 120 m2,5 Katlı,2. Kat,1 Yaşında,Kombi,,Uygun,Kat Mülkiyeti,Eşyalı Değil,,,Mülk Sahibi,Doğu,Hayır,,500 TL,,,Uygun,,220
6.000.000 TL,İstanbul - Bahçelievler - Kocasinan Merkez Mah.,https://www.hepsiemlak.com/istanbul-bahcelievler-kocasinan-merkez-satilik/daire/161625-23,161625-23,21-10-2025,Satılık,Daire,Daire,1 + 1,1.0,90 m2  / 84 m2,10 Katlı,3. Kat,Sıfır Bina,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,,Betonarme,Yapım Aşamasınd...,Boş,"Güney, Doğu",Hayır,,,Evet,,Uygun,,200
20.650.000 TL,İstanbul - Kadıköy - Erenköy Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-erenkoy-satilik/daire/1005-4204,1005-4204,15-10-2025,Satılık,Daire,Daire,3 + 1,2.0,140 m2  / 110 m2,14 Katlı,11. Kat,8 Yaşında,Merkezi (Pay Öl...,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Kuzey, Güney, Batı",Hayır,,,,,Uygun,,700
10.500.000 TL,İstanbul - Beşiktaş - Nisbetiye Mah.,https://www.hepsiemlak.com/istanbul-besiktas-nisbetiye-satilik/daire/6485-6424,6485-6424,20-10-2025,Satılık,Daire,Daire,2 + 1,2.0,80 m2  / 70 m2,6 Katlı,Bahçe Katı,31 Yaşında,Merkezi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,"Kuzey, Güney, Doğu, Batı",Hayır,45.000 TL,,Evet,,Uygun,,850
10.500.000 TL,İstanbul - Beşiktaş - Nisbetiye Mah.,https://www.hepsiemlak.com/istanbul-besiktas-nisbetiye-satilik/daire/6485-6424,6485-6424,20-10-2025,Satılık,Daire,Daire,2 + 1,2.0,80 m2  / 70 m2,6 Katlı,Bahçe Katı,31 Yaşında,Merkezi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,"Kuzey, Güney, Doğu, Batı",Hayır,45.000 TL,,Evet,,Uygun,,850
1.380.000 TL,İstanbul - Esenyurt - Balıkyolu Mah.,https://www.hepsiemlak.com/istanbul-esenyurt-balikyolu-satilik/daire/137450-444,137450-444,20-10-2025,Satılık,Daire,Daire,2 + 1,1.0,88 m2  / 80 m2,5 Katlı,Bahçe Katı,6 Yaşında,Kombi,Doğalgaz,Uygun,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Güney, Doğu",Evet,,,Evet,,Uygun,,210
